id,max_stack,skills,abilities,name,req_level,req_race,req_alignment,req_body_type,req_body_part,req_constitution,req_competence,req_development,req_int_gp,req_str_gp,req_dex_gp,req_tgh_gp,req_wis_gp,req_med_gp,req_sth_gp,req_per_gp,req_dodge_cp,req_block_cp,req_mma_cp,req_finesse_cp,req_crude_cp,req_archery_cp,req_firearms_cp,req_thrown_cp,req_bite_cp,req_claw_cp,req_swipe_cp,req_sting_cp,mod_ms_cap,mod_gp_cap,mod_cp_cap,mod_composure,mod_stamina,mod_ms,mod_evasion,mod_protection,mod_wrestling,mod_total_hp_incr,mod_body_phys_res,mod_body_elem_res,mod_int_gp,mod_str_gp,mod_dex_gp,mod_tgh_gp,mod_wis_gp,mod_med_gp,mod_sth_gp,mod_per_gp,mod_dodge_cp,mod_block_cp,mod_mma_cp,mod_finesse_cp,mod_crude_cp,mod_archery_cp,mod_firearms_cp,mod_thrown_cp,mod_bite_cp,mod_claw_cp,mod_swipe_cp,mod_sting_cp,mod_eq_phys_res,mod_eq_elem_res,mod_weight,mod_ease,com_base_dmg,com_dmg_var,com_dmg_type,com_range_config,com_att_rat,com_armor_pen,com_reload_cycle,com_aoe,com_block_rat,com_quick_act,com_two_hand,com_rel_cp
medium_shield,1,,"(concussive, 1)",Medium shield,,,,,,,,4,3,4,2,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,1,1,-1,,,1,2,,,crude
ceramic_grenade,1,,"(limited, 1)",Ceramic grenade,,,,,,,,4,4,2,3,0,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,1,,0,,,,,,,thrown
smoke_grenade,1,,"(obstructive, 1), (limited, 1), (incendiary, 3)",Smoke grenade,,,,,,,,4,4,1,3,0,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,-1,,,,,,,thrown
spear,1,,,Spear,,,,,,,,4,3,2,3,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,8,1,1,0,1,,1,,,1,finesse
heavy_hammer,1,,"(concussive, 1)",Heavy hammer,,,,,,,,4,2,5,3,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,10,1,1,-1,,,,,,1,crude
great_axe,1,,"(bleed, 1)",Great axe,,,,,,,,4,2,5,4,4,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,12,1,1,-1,,,,,,1,crude
hunting_slingshot,1,,"(concussive, 1)",Hunting slingshot,,,,,,,,4,4,4,4,3,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,1,1,1,,,1,,,1,archery
knife,1,,,Knife,,,,,,,,4,2,1,3,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,1,1,1,,,1,,,,finesse
molotov,1,,"(limited, 1), (incendiary, 2)",Molotov,,,,,,,,4,4,2,4,0,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,,-1,,,,,,,thrown
flail,1,,"(concussive, 1)",Flail,,,,,,,,4,4,4,4,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,1,1,-1,,,,,,,crude
sword,1,,,Sword,,,,,,,,4,3,3,4,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,1,1,0,,,,,,,finesse
reflex_bow,1,,,Reflex bow,,,,,,,,4,3,2,3,2,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,6,1,,1,,,1,,,1,archery
heavy_slingshot,1,,"(concussive, 1)",Heavy slingshot,,,,,,,,4,3,4,4,3,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,1,,0,1,,1,,,1,archery
heavy_bow,1,,,Heavy bow,,,,,,,,4,3,5,4,4,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,1,,0,1,,,,,1,archery
refined_leather,1,,,Refined leather,,,,,,,,4,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,Heavy leather
light_cloth,1,,,Light cloth,,,,,,,,4.5,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,Torso/Legs
cloth,1,,,Cloth,,,,,,,,4.5,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,Torso/Legs
metal,1,,,Metal,,,,,,,,4.5,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,ALL
camouflage_suit_body,1,,"(camouflage, 1)",Camouflage suit (body),,,,,,,,4.5,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
combat_knife,1,,,Combat knife,,,,,,,,5,2,2,4,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,1,1,1,,,1,,,,finesse
hidden_knife,1,,,Hidden knife,,,,,,,,5,4,1,4,0,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,1,1,1,,,1,,1,,crude
throwing_knife,1,throw_weapon,,Throwing knife,,,,,,,,5,3,2,4,0,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6,1,1,0,,,1,,,,thrown
grenade,1,,"(limited, 1)",Grenade,,,,,,,,5,4,1,3,0,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,1,1,0,,,,,,,thrown
naginata,1,,,Naginata,,,,,,,,5,3,3,4,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,1,1,0,,,,,,1,finesse
tower_shield,1,,"(concussive, 1)",Tower shield,,,,,,,,5,2,5,2,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6,1,1,-1,,,1,3,,,crude
kunai,1,,,Kunai,,,,,,,,5,3,1,4,0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,1,1,0,,,1,,,,thrown
hand_crossbow,1,,,Hand-Crossbow,,,,,,,,5,4,3,3,1,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,1,1,0,,,1,,,,archery
long_sword,1,,"(bleed, 1)",Long sword,,,,,,,,5,2,4,4,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,12,1,1,-1,1,,,,,1,finesse
great_sword,1,,"(bleed, 1)",Great sword,,,,,,,,5,2,5,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,12,1,1,-1,,,,,,1,finesse
halberd,1,,"(bleed, 2)",Halberd,,,,,,,,5,3,5,4,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,1,,0,,,,,,1,crude
long_spear,1,,"(bleed, 1)",Long spear,,,,,,,,5,3,3,3,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,10,1,,0,,,,,,1,finesse
heavy_crossbow,1,,"(bleed, 1)",Heavy crossbow,,,,,,,,5,4,4,3,2,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8,1,,0,2,,1,,,1,archery
classic_rifle,1,set_up_down,,Classic rifle,,,,,,,,5,4,2,2,3,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,1,,0,1,,1,,,1,firearm
light_machine_gun,1,"burst_shot, set_up_down",,Light Machine gun,,,,,,,,5,4,3,2,4,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,1,,0,,,1,,,1,firearm
refined_metal,1,,,Refined metal,,,,,,,,5,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,,,,,,,,,,,,,Torso/Legs
shock_baton,1,,"(concussive, 1)",Shock baton,,,,,,,,6,4,2,2,3,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,,1,0,,,1,,,,finesse
heavy_smoke_grenade,1,,"(obstructive, 1), (limited, 1), (incendiary, 3)",Heavy Smoke grenade,,,,,,,,6,4,1,3,0,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,-2,,,,,,,thrown
tranquilizer_pistol,1,,"(collapse, 1)",Tranquilizer pistol,,,,,,,,6,2,0,1,0,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,1,,,,firearm
katana,1,,"(bleed, 1)",Katana,,,,,,,,6,3,3,4,3,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,8,1,1,1,1,,1,,,,finesse
pistol_usp,1,,,Pistol (USP),,,,,,,,6,4,1,2,1,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,1,,0,,,1,,,,firearm
pistol_glock,1,double_shot,,Pistol (Glock),,,,,,,,6,4,1,3,2,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,1,,0,,,1,,,,firearm
pistol_desert_eagle,1,,"(bleed, 1)",Pistol (Desert Eagle),,,,,,,,6,4,1,2,2,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,1,,-1,1,,1,,,,firearm
tranquilizer_rifle,1,set_up_down,"(collapse, 1)",Tranquilizer rifle,,,,,,,,6,4,1,2,0,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,2,,,1,,,1,firearm
electric_bola,1,throw_weapon,"(immobilzing, 2)",Electric bola,,,,,,,,6,4,2,4,0,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,,,-1,,,1,,,,thrown
electro_whip,1,double_shot,,Electro whip,,,,,,,,6,4,2,4,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,,,1,,,1,,,,finesse
electro_spear,1,,"(hinder, 1)",Electro spear,,,,,,,,6,4,2,3,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8,,,0,1,,1,,,1,finesse
auto_crossbow,1,,,Auto crossbow,,,,,,,,6,4,2,4,1,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6,1,1,1,1,,1,,,1,archery
double_barrel_shotgun,1,double_shot,,Double-barrel shotgun,,,,,,,,6,4,2,2,3,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,1,1,1,,1,1,,,1,firearm
reinforced_cloth,1,,,Reinforced cloth,,,,,,,,6,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,,,,,,,,,,,,,,Torso/Legs
composite,1,,,Composite,,,,,,,,6,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,,,,,,,,,,,,,,ALL
heavy_composite,1,,,Heavy composite,,,,,,,,6.7,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,,,,,,,ALL
infrared_vision,1,,"(locate, 2)",Infrared vision,,,,,,,,6.7,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,
machine_gun,1,"burst_shot, set_up_down",,Machine gun,,,,,,,,7,3,3,2,3,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,1,,0,,,1,,,1,firearm
heavy_machine_gun,1,"burst_shot, set_up_down",,Heavy Machine gun,,,,,,,,7,4,5,2,5,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,1,,0,1,,1,,,1,firearm
balista_crossbow,1,set_up_down,,Balista crossbow,,,,,,,,7,3,5,3,3,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,10,1,,-1,2,,,,,1,archery
pacifying_baton,1,,"(hinder, 2)",Pacifying baton,,,,,,,,7,3,1,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,1,0,,,1,,,,crude
composite_shield,1,,"(concussive, 1)",Composite shield,,,,,,,,7,2,4,3,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,1,1,-1,,,1,3,,,crude
taser,1,,"(collapse, 1)",Taser,,,,,,,,7,3,0,1,0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,2,,1,1,,,,firearm
he_grenade,1,,"(limited, 1)",HE grenade,,,,,,,,6,4,1,3,0,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,,,0,,,,,,,thrown
necrotic_grenade,1,,"(bleed, 3), (limited, 1)",Necrotic grenade,,,,,,,,7,3,1,3,0,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,,,,,,thrown
flashbang,1,,"(blinding, 2), (limited, 1)",Flashbang,,,,,,,,7,4,1,3,0,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,,,,,,thrown
grappling_gun,1,,"(grappling, 2)",grappling gun,,,,,,,,7,5,4,2,2,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,1,,2,,1,1,,,1,firearm
pistol_five_seven,1,double_shot,,Pistol (Five-Seven),,,,,,,,7,4,1,4,2,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,1,,0,,,1,,,,firearm
rifle_scout,1,,,Rifle (Scout),,,,,,,,7,4,2,2,1,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,1,,2,1,,1,,,1,firearm
auto_rifle_m,1,burst_shot,,Auto rifle (M),,,,,,,,7,4,2,3,2,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,1,,1,,,1,,,1,firearm
auto_rifle_ak,1,burst_shot,,Auto Rifle (AK),,,,,,,,7,4,3,3,3,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,1,,0,1,,1,,,1,firearm
flamethrower,1,,"(bleed, 1)",Flamethrower,,,,,,,,7,4,5,1,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,,,1,1,,,,,1,firearm
rifle_awp,1,set_up_down,,Rifle (AWP),,,,,,,,7,4,3,2,4,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,1,,0,2,,,,,1,firearm
refined_polymer,1,,,Refined polymer,,,,,,,,7,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,Torso/Legs
hover_board,1,,"(hovering, 1)",Hover board,,,,,,,,7,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,Legs
implosive_grenade,1,,"(limited, 1)",Implosive grenade,,,,,,,,8,4,1,3,0,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,1,,0,,,,,,,thrown
blast_grenade,1,,"(limited, 1)",Blast grenade,,,,,,,,8,4,2,3,0,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,,,0,,,,,,,thrown
polymer_shield,1,,,Polymer shield,,,,,,,,8,2,2,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,1,-1,,,1,3,,,crude
blinding_shield,1,,"(blinding, 2)",Blinding shield,,,,,,,,8,5,3,3,3,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,-1,,,,2,,,firearm
laser_pistol,1,,,Laser pistol,,,,,,,,8,3,1,2,0,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,,,0,1,,1,,,,firearm
emp_pistol,1,,"(concussive, 1)",EMP pistol,,,,,,,,8,4,1,3,2,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,,,0,,1,1,,,,firearm
guided_pistol,1,,,Guided pistol,,,,,,,,8,4,1,1,1,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,1,,1,,,1,,,,firearm
blast_gun,1,double_shot,,Blast gun,,,,,,,,8,4,3,2,3,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,,1,1,1,1,1,,,1,firearm
laser_rifle,1,,,Laser rifle,,,,,,,,8,4,2,2,1,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,,,1,2,,1,,,1,firearm
emp_rifle,1,,"(concussive, 1)",EMP rifle,,,,,,,,8,4,2,2,2,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,,,1,,1,1,,,1,firearm
guided_rifle,1,set_up_down,,Guided rifle,,,,,,,,8,5,2,2,1,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,1,,2,,,1,,,1,firearm
high_energy_laser,1,set_up_down,,High energy laser,,,,,,,,8,5,4,2,3,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,,,1,3,1,,,,1,firearm
spark_of_zeus,1,,"(concussive, 2), (collapse, 1)",Spark of Zeus,,,,,,,,8,5,5,2,5,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,,1,2,,1,1,,,1,firearm
polymer,1,,,Polymer,,,,,,,,8,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,ALL
jet_pack,1,,"(flying, 1)",Jet pack,,,,,,,,8,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,Body
nuclear_grenade,1,,"(limited, 1)",Nuclear grenade,,,,,,,,9,4,1,3,0,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,,,-1,,,,,,,thrown
plasma_sabre,1,,,Plasma sabre,,,,,,,,9,4,2,3,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6,,1,0,,,1,,,,finesse
plasma_sword,1,,,Plasma sword,,,,,,,,9,4,2,3,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,6,,1,0,,,1,,,,finesse
rail_handgun,1,,,Rail handgun,,,,,,,,9,4,1,3,1,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,,,0,,1,1,,,,firearm
rail_shotgun,1,double_shot,,Rail shotgun,,,,,,,,9,4,3,2,3,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,,1,1,,1,1,,,1,firearm
radio_frequency_emitter,1,,,Radio-frequency emmiter,,,,,,,,9,4,3,1,0,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,,,0,,,,,,1,firearm
